,Stock Code,Order ID,Category,Sub Category,City,Region,Sales,Discount,Profit,Day of week,IsWeekend,Weather,Unit Cost,Units Sold,Date,Week,Rolling_avg_4weeks,Product Code
18,BAK-BIS,OD3146,Bakery,Biscuits,Viluppuram,Central,1727,0.24,690.8,1,0,Cloudy,30,57,2015-03-17,2015-03-22,134.25,2
19,BAK-BIS,OD6395,Bakery,Biscuits,Trichy,South,531,0.22,217.71,3,0,Sunny,30,17,2015-03-19,2015-03-22,134.25,2
20,BAK-BIS,OD4267,Bakery,Biscuits,Virudhunagar,South,2264,0.21,950.88,6,1,Cloudy,30,75,2015-03-22,2015-03-22,134.25,2
21,BAK-BIS,OD1627,Bakery,Biscuits,Kanyakumari,East,1864,0.18,428.72,2,0,Cloudy,30,62,2015-03-25,2015-03-29,149.75,3
22,BAK-BIS,OD2682,Bakery,Biscuits,Viluppuram,Central,2363,0.22,519.86,0,0,Cloudy,30,78,2015-04-20,2015-04-26,29.75,3
23,BAK-BIS,OD9519,Bakery,Biscuits,Tenkasi,West,1244,0.27,522.48,6,1,Rainy,30,41,2015-04-26,2015-04-26,29.75,3
24,BAK-BIS,OD2736,Bakery,Biscuits,Theni,East,1330,0.25,505.4,6,1,Cloudy,30,44,2015-05-03,2015-05-03,40.75,3
25,BAK-BIS,OD2612,Bakery,Biscuits,Kanyakumari,Central,2052,0.26,143.64,0,0,Cloudy,30,68,2015-05-04,2015-05-10,70.75,3
26,BAK-BIS,OD5700,Bakery,Biscuits,Virudhunagar,South,1589,0.11,444.92,3,0,Cloudy,30,52,2015-05-07,2015-05-10,70.75,3
27,BAK-BIS,OD9919,Bakery,Biscuits,Ramanadhapuram,South,1369,0.35,506.53,0,0,Rainy,30,45,2015-05-11,2015-05-17,82.0,3
28,BAK-BIS,OD9616,Bakery,Biscuits,Trichy,West,1500,0.33,405.0,3,0,Sunny,30,50,2015-05-21,2015-05-24,69.0,3
29,BAK-BIS,OD4356,Bakery,Biscuits,Ramanadhapuram,West,520,0.34,135.2,5,1,Cloudy,30,17,2015-05-23,2015-05-24,69.0,3
30,BAK-BIS,OD3634,Bakery,Biscuits,Trichy,East,1127,0.31,191.59,0,0,Sunny,30,37,2015-05-25,2015-05-31,73.0,3
31,BAK-BIS,OD3913,Bakery,Biscuits,Cumbum,East,704,0.22,246.4,5,1,Cloudy,30,23,2015-05-30,2015-05-31,73.0,3
32,BAK-BIS,OD8752,Bakery,Biscuits,Dindigul,East,701,0.29,126.18,3,0,Rainy,30,23,2015-06-04,2015-06-07,57.0,3
33,BAK-BIS,OD9518,Bakery,Biscuits,Dindigul,West,1015,0.33,395.85,4,0,Cloudy,30,33,2015-06-05,2015-06-07,57.0,3
34,BAK-BIS,OD3530,Bakery,Biscuits,Cumbum,Central,2017,0.32,201.7,5,1,Rainy,30,67,2015-06-20,2015-06-21,45.75,4
35,BAK-BIS,OD6890,Bakery,Biscuits,Namakkal,West,2321,0.11,742.72,3,0,Cloudy,30,77,2015-06-25,2015-06-28,50.0,4
36,BAK-BIS,OD1541,Bakery,Biscuits,Theni,Central,1280,0.12,358.4,2,0,Cloudy,30,42,2015-07-01,2015-07-05,51.25,4
37,BAK-BIS,OD1080,Bakery,Biscuits,Perambalur,South,589,0.25,170.81,5,1,Sunny,30,19,2015-07-04,2015-07-05,51.25,4
38,BAK-BIS,OD3500,Bakery,Biscuits,Viluppuram,Central,923,0.29,239.98,3,0,Cloudy,30,30,2015-07-09,2015-07-12,58.75,4
39,BAK-BIS,OD3833,Bakery,Biscuits,Theni,East,1741,0.17,295.97,5,1,Rainy,30,58,2015-07-18,2015-07-19,56.5,4
40,BAK-BIS,OD7074,Bakery,Biscuits,Pudukottai,Central,886,0.21,283.52,1,0,Cloudy,30,29,2015-07-21,2015-07-26,60.25,4
41,BAK-BIS,OD3474,Bakery,Biscuits,Perambalur,Central,1904,0.27,95.2,6,1,Cloudy,30,63,2015-07-26,2015-07-26,60.25,4
42,BAK-BIS,OD5565,Bakery,Biscuits,Bodi,West,2084,0.27,166.72,5,1,Cloudy,30,69,2015-08-08,2015-08-09,54.75,5
43,BAK-BIS,OD2940,Bakery,Biscuits,Coimbatore,South,853,0.31,110.89,5,1,Rainy,30,28,2015-08-22,2015-08-23,24.25,5
44,BAK-BIS,OD2877,Bakery,Biscuits,Cumbum,South,779,0.27,109.06,3,0,Pleasant,30,25,2015-08-27,2015-08-30,30.5,5
45,BAK-BIS,OD5844,Bakery,Biscuits,Chennai,West,726,0.27,196.02,6,1,Cloudy,30,24,2015-09-06,2015-09-06,25.75,5
46,BAK-BIS,OD9,Bakery,Biscuits,Tirunelveli,West,791,0.23,181.93,6,1,Rainy,30,26,2015-09-06,2015-09-06,25.75,5
47,BAK-BIS,OD9588,Bakery,Biscuits,Tirunelveli,West,1694,0.17,135.52,0,0,Cloudy,30,56,2015-09-07,2015-09-13,49.0,5
48,BAK-BIS,OD926,Bakery,Biscuits,Karur,East,1118,0.25,402.48,6,1,Sunny,30,37,2015-09-13,2015-09-13,49.0,5
49,BAK-BIS,OD4023,Bakery,Biscuits,Virudhunagar,South,787,0.32,94.44,0,0,Cloudy,30,26,2015-09-14,2015-09-20,106.5,6
50,BAK-BIS,OD4396,Bakery,Biscuits,Trichy,West,798,0.16,231.42,3,0,Sunny,30,26,2015-09-17,2015-09-20,106.5,6
51,BAK-BIS,OD1829,Bakery,Biscuits,Virudhunagar,West,1887,0.14,358.53,3,0,Cloudy,30,62,2015-09-17,2015-09-20,106.5,6
52,BAK-BIS,OD4369,Bakery,Biscuits,Viluppuram,West,1439,0.26,532.43,3,0,Cloudy,30,47,2015-09-17,2015-09-20,106.5,6
53,BAK-BIS,OD2080,Bakery,Biscuits,Nagercoil,East,2252,0.12,788.2,6,1,Rainy,30,75,2015-09-20,2015-09-20,106.5,6
54,BAK-BIS,OD1049,Bakery,Biscuits,Salem,East,684,0.19,294.12,6,1,Rainy,30,22,2015-09-20,2015-09-20,106.5,6
55,BAK-BIS,OD4387,Bakery,Biscuits,Kanyakumari,West,1838,0.18,771.96,0,0,Cloudy,30,61,2015-09-21,2015-09-27,150.0,6
56,BAK-BIS,OD4602,Bakery,Biscuits,Salem,West,2489,0.14,945.82,0,0,Cloudy,30,82,2015-09-21,2015-09-27,150.0,7
57,BAK-BIS,OD6241,Bakery,Biscuits,Dharmapuri,Central,593,0.29,207.55,0,0,Cloudy,30,19,2015-09-21,2015-09-27,150.0,7
58,BAK-BIS,OD9540,Bakery,Biscuits,Tirunelveli,West,1121,0.34,67.26,5,1,Sunny,30,37,2015-09-26,2015-09-27,150.0,7
59,BAK-BIS,OD4288,Bakery,Biscuits,Salem,West,569,0.24,147.94,1,0,Rainy,30,18,2015-09-29,2015-10-04,166.75,7
60,BAK-BIS,OD7387,Bakery,Biscuits,Dindigul,East,2427,0.29,582.48,1,0,Rainy,30,80,2015-09-29,2015-10-04,166.75,7
61,BAK-BIS,OD7370,Bakery,Biscuits,Karur,East,588,0.3,141.12,1,0,Rainy,30,19,2015-09-29,2015-10-04,166.75,7
62,BAK-BIS,OD6544,Bakery,Biscuits,Nagercoil,West,960,0.1,230.4,5,1,Cloudy,30,32,2015-10-10,2015-10-11,163.25,7
63,BAK-BIS,OD8123,Bakery,Biscuits,Viluppuram,Central,1434,0.2,114.72,5,1,Cloudy,30,47,2015-10-10,2015-10-11,163.25,7
64,BAK-BIS,OD5792,Bakery,Biscuits,Trichy,East,1562,0.21,609.18,1,0,Cloudy,30,52,2015-10-13,2015-10-18,130.75,7
65,BAK-BIS,OD8028,Bakery,Biscuits,Dharmapuri,South,2285,0.23,251.35,6,1,Cloudy,30,76,2015-10-18,2015-10-18,130.75,7
66,BAK-BIS,OD6075,Bakery,Biscuits,Dharmapuri,South,1852,0.23,203.72,3,0,Cloudy,30,61,2015-10-22,2015-10-25,96.25,7
67,BAK-BIS,OD2721,Bakery,Biscuits,Ooty,East,1651,0.24,313.69,5,1,Rainy,30,55,2015-10-31,2015-11-01,98.5,7
68,BAK-BIS,OD6184,Bakery,Biscuits,Dharmapuri,West,2142,0.13,771.12,5,1,Cloudy,30,71,2015-10-31,2015-11-01,98.5,8
69,BAK-BIS,OD9778,Bakery,Biscuits,Bodi,Central,1651,0.11,115.57,2,0,Cold,30,55,2015-11-04,2015-11-08,116.25,8
70,BAK-BIS,OD9168,Bakery,Biscuits,Dindigul,Central,653,0.31,143.66,3,0,Rainy,30,21,2015-11-05,2015-11-08,116.25,8
71,BAK-BIS,OD4823,Bakery,Biscuits,Pudukottai,Central,2245,0.32,269.4,5,1,Pleasant,30,74,2015-11-07,2015-11-08,116.25,8
72,BAK-BIS,OD4900,Bakery,Biscuits,Theni,West,868,0.21,373.24,6,1,Rainy,30,28,2015-11-15,2015-11-15,91.25,8
73,BAK-BIS,OD5718,Bakery,Biscuits,Karur,West,563,0.29,180.16,0,0,Rainy,30,18,2015-11-16,2015-11-22,152.25,8
74,BAK-BIS,OD3875,Bakery,Biscuits,Viluppuram,East,1482,0.21,666.9,1,0,Cloudy,30,49,2015-11-17,2015-11-22,152.25,8
75,BAK-BIS,OD6452,Bakery,Biscuits,Vellore,West,791,0.33,324.31,1,0,Cloudy,30,26,2015-11-17,2015-11-22,152.25,8
76,BAK-BIS,OD1656,Bakery,Biscuits,Tirunelveli,East,1602,0.33,656.82,2,0,Rainy,30,53,2015-11-18,2015-11-22,152.25,8
77,BAK-BIS,OD6133,Bakery,Biscuits,Krishnagiri,West,1496,0.27,149.6,2,0,Pleasant,30,49,2015-11-18,2015-11-22,152.25,8
78,BAK-BIS,OD5336,Bakery,Biscuits,Nagercoil,East,1641,0.12,147.69,3,0,Pleasant,30,54,2015-11-19,2015-11-22,152.25,9
79,BAK-BIS,OD7428,Bakery,Biscuits,Krishnagiri,South,1698,0.19,441.48,6,1,Cloudy,30,56,2015-11-22,2015-11-22,152.25,9
80,BAK-BIS,OD4756,Bakery,Biscuits,Nagercoil,West,1332,0.23,266.4,2,0,Cloudy,30,44,2015-11-25,2015-11-29,158.5,9
81,BAK-BIS,OD1960,Bakery,Biscuits,Salem,West,1819,0.27,218.28,2,0,Pleasant,30,60,2015-11-25,2015-11-29,158.5,9
82,BAK-BIS,OD7762,Bakery,Biscuits,Namakkal,West,544,0.33,136.0,3,0,Pleasant,30,18,2015-11-26,2015-11-29,158.5,9
83,BAK-BIS,OD6954,Bakery,Biscuits,Tirunelveli,Central,898,0.24,224.5,5,1,Pleasant,30,29,2015-11-28,2015-11-29,158.5,9
84,BAK-BIS,OD9991,Bakery,Biscuits,Kanyakumari,West,1195,0.26,71.7,0,0,Cloudy,30,39,2015-12-07,2015-12-13,123.75,9
85,BAK-BIS,OD3805,Bakery,Biscuits,Tenkasi,East,1050,0.25,252.0,0,0,Rainy,30,35,2015-12-14,2015-12-20,56.25,9
86,BAK-BIS,OD1338,Bakery,Biscuits,Tirunelveli,South,1995,0.13,778.05,2,0,Pleasant,30,66,2015-12-23,2015-12-27,55.5,9
87,BAK-BIS,OD3899,Bakery,Biscuits,Karur,East,2484,0.27,943.92,5,1,Pleasant,30,82,2015-12-26,2015-12-27,55.5,9
88,BAK-BIS,OD7211,Bakery,Biscuits,Krishnagiri,East,1676,0.24,150.84,0,0,Pleasant,30,55,2015-12-28,2016-01-03,113.25,9
89,BAK-BIS,OD4541,Bakery,Biscuits,Dindigul,West,729,0.25,313.47,0,0,Pleasant,30,24,2015-12-28,2016-01-03,113.25,9
90,BAK-BIS,OD8371,Bakery,Biscuits,Vellore,West,1811,0.11,742.51,1,0,Pleasant,30,60,2015-12-29,2016-01-03,113.25,10
91,BAK-BIS,OD6625,Bakery,Biscuits,Krishnagiri,Central,899,0.12,287.68,2,0,Pleasant,30,29,2015-12-30,2016-01-03,113.25,10
92,BAK-BIS,OD8395,Bakery,Biscuits,Vellore,East,1897,0.19,341.46,3,0,Pleasant,30,63,2015-12-31,2016-01-03,113.25,10
93,BAK-BIS,OD9293,Bakery,Biscuits,Tirunelveli,East,1697,0.35,695.77,5,1,Pleasant,30,56,2016-01-09,2016-01-10,117.5,10
94,BAK-BIS,OD4668,Bakery,Biscuits,Salem,West,2421,0.3,266.31,2,0,Pleasant,30,80,2016-01-13,2016-01-17,128.75,10
95,BAK-BIS,OD1347,Bakery,Biscuits,Krishnagiri,South,2223,0.23,955.89,3,0,Cloudy,30,74,2016-01-28,2016-01-31,52.5,10
96,BAK-BIS,OD5351,Bakery,Biscuits,Vellore,East,1947,0.2,759.33,6,1,Cloudy,30,64,2016-02-14,2016-02-14,34.5,10
97,BAK-BIS,OD3042,Bakery,Biscuits,Virudhunagar,West,579,0.12,208.44,6,1,Cloudy,30,19,2016-02-21,2016-02-21,39.25,10
98,BAK-BIS,OD6989,Bakery,Biscuits,Karur,Central,1376,0.31,522.88,1,0,Sunny,30,45,2016-03-01,2016-03-06,37.5,10
99,BAK-BIS,OD808,Bakery,Biscuits,Dindigul,Central,662,0.18,165.5,2,0,Cloudy,30,22,2016-03-02,2016-03-06,37.5,10
100,BAK-BIS,OD7677,Bakery,Biscuits,Kanyakumari,West,2239,0.32,626.92,2,0,Cloudy,30,74,2016-03-09,2016-03-13,68.75,10
101,BAK-BIS,OD387,Bakery,Biscuits,Virudhunagar,East,2201,0.21,462.21,5,1,Cloudy,30,73,2016-03-12,2016-03-13,68.75,10
102,BAK-BIS,OD1770,Bakery,Biscuits,Nagercoil,South,1275,0.28,484.5,5,1,Cloudy,30,42,2016-03-12,2016-03-13,68.75,11
103,BAK-BIS,OD2900,Bakery,Biscuits,Ooty,South,965,0.33,328.1,2,0,Pleasant,30,32,2016-03-16,2016-03-20,72.0,11
104,BAK-BIS,OD636,Bakery,Biscuits,Namakkal,South,2151,0.27,215.1,6,1,Sunny,30,71,2016-04-10,2016-04-10,25.75,11
105,BAK-BIS,OD2745,Bakery,Biscuits,Nagercoil,East,1411,0.24,366.86,1,0,Cloudy,30,47,2016-04-12,2016-04-17,65.0,11
106,BAK-BIS,OD1609,Bakery,Biscuits,Coimbatore,East,1907,0.35,247.91,1,0,Sunny,30,63,2016-04-12,2016-04-17,65.0,11
107,BAK-BIS,OD7413,Bakery,Biscuits,Tenkasi,East,2377,0.27,594.25,5,1,Cloudy,30,79,2016-04-16,2016-04-17,65.0,11
108,BAK-BIS,OD4881,Bakery,Biscuits,Perambalur,South,1127,0.34,281.75,0,0,Sunny,30,37,2016-04-18,2016-04-24,74.25,11
109,BAK-BIS,OD9902,Bakery,Biscuits,Cumbum,East,1993,0.3,279.02,2,0,Cloudy,30,66,2016-05-04,2016-05-08,73.0,12
110,BAK-BIS,OD9187,Bakery,Biscuits,Ooty,Central,1344,0.34,147.84,0,0,Cloudy,30,44,2016-05-09,2016-05-15,91.75,12
111,BAK-BIS,OD929,Bakery,Biscuits,Chennai,South,2127,0.19,425.4,1,0,Sunny,30,70,2016-05-10,2016-05-15,91.75,12
112,BAK-BIS,OD5692,Bakery,Biscuits,Tirunelveli,South,2422,0.27,678.16,3,0,Cloudy,30,80,2016-05-12,2016-05-15,91.75,12
113,BAK-BIS,OD695,Bakery,Biscuits,Perambalur,East,2128,0.1,425.6,5,1,Sunny,30,70,2016-05-14,2016-05-15,91.75,13
114,BAK-BIS,OD9000,Bakery,Biscuits,Theni,South,1792,0.22,286.72,3,0,Sunny,30,59,2016-05-26,2016-05-29,131.5,13
115,BAK-BIS,OD9808,Bakery,Biscuits,Coimbatore,South,1926,0.24,154.08,3,0,Cloudy,30,64,2016-05-26,2016-05-29,131.5,13
116,BAK-BIS,OD3787,Bakery,Biscuits,Virudhunagar,East,1353,0.26,595.32,5,1,Cloudy,30,45,2016-05-28,2016-05-29,131.5,13
117,BAK-BIS,OD3702,Bakery,Biscuits,Salem,East,849,0.2,101.88,5,1,Rainy,30,28,2016-05-28,2016-05-29,131.5,13
118,BAK-BIS,OD3510,Bakery,Biscuits,Coimbatore,Central,2256,0.18,225.6,5,1,Cloudy,30,75,2016-06-04,2016-06-05,133.75,13
119,BAK-BIS,OD5968,Bakery,Biscuits,Salem,East,1762,0.24,193.82,1,0,Cloudy,30,58,2016-06-07,2016-06-12,102.75,13
120,BAK-BIS,OD2402,Bakery,Biscuits,Ooty,West,2484,0.32,968.76,5,1,Pleasant,30,82,2016-06-11,2016-06-12,102.75,14
121,BAK-BIS,OD7445,Bakery,Biscuits,Krishnagiri,South,1092,0.11,414.96,0,0,Windy,30,36,2016-06-13,2016-06-19,124.25,14
122,BAK-BIS,OD5701,Bakery,Biscuits,Chennai,South,1513,0.3,484.16,5,1,Cloudy,30,50,2016-06-18,2016-06-19,124.25,14
123,BAK-BIS,OD340,Bakery,Biscuits,Namakkal,West,601,0.26,234.39,2,0,Rainy,30,20,2016-06-22,2016-06-26,127.75,14
124,BAK-BIS,OD5130,Bakery,Biscuits,Tirunelveli,West,2353,0.13,588.25,3,0,Cloudy,30,78,2016-06-23,2016-06-26,127.75,14
125,BAK-BIS,OD4671,Bakery,Biscuits,Pudukottai,West,1993,0.12,358.74,5,1,Windy,30,66,2016-06-25,2016-06-26,127.75,14
126,BAK-BIS,OD2039,Bakery,Biscuits,Cumbum,Central,1385,0.13,290.85,5,1,Rainy,30,46,2016-06-25,2016-06-26,127.75,14
127,BAK-BIS,OD9701,Bakery,Biscuits,Salem,East,1799,0.22,323.82,6,1,Cloudy,30,59,2016-07-03,2016-07-03,123.75,15
128,BAK-BIS,OD8025,Bakery,Biscuits,Ooty,South,1777,0.2,799.65,4,0,Cloudy,30,59,2016-07-08,2016-07-10,103.5,15
129,BAK-BIS,OD1390,Bakery,Biscuits,Coimbatore,West,1764,0.35,740.88,3,0,Cloudy,30,58,2016-07-14,2016-07-17,122.25,15
130,BAK-BIS,OD9263,Bakery,Biscuits,Krishnagiri,East,2226,0.33,868.14,5,1,Rainy,30,74,2016-07-16,2016-07-17,122.25,15
131,BAK-BIS,OD7906,Bakery,Biscuits,Cumbum,East,887,0.25,168.53,5,1,Pleasant,30,29,2016-07-16,2016-07-17,122.25,15
132,BAK-BIS,OD5027,Bakery,Biscuits,Bodi,East,2321,0.11,974.82,0,0,Pleasant,30,77,2016-07-18,2016-07-24,89.0,15
133,BAK-BIS,OD5180,Bakery,Biscuits,Dindigul,Central,2403,0.17,360.45,2,0,Cloudy,30,80,2016-08-03,2016-08-07,104.25,15
134,BAK-BIS,OD3154,Bakery,Biscuits,Bodi,Central,1827,0.28,493.29,4,0,Cloudy,30,60,2016-08-05,2016-08-07,104.25,15
135,BAK-BIS,OD7533,Bakery,Biscuits,Pudukottai,South,1178,0.26,58.9,5,1,Windy,30,39,2016-08-06,2016-08-07,104.25,16
136,BAK-BIS,OD1866,Bakery,Biscuits,Bodi,West,783,0.24,180.09,2,0,Windy,30,26,2016-08-10,2016-08-14,93.75,16
137,BAK-BIS,OD3694,Bakery,Biscuits,Dindigul,East,912,0.23,91.2,3,0,Cloudy,30,30,2016-08-11,2016-08-14,93.75,16
138,BAK-BIS,OD4407,Bakery,Biscuits,Ooty,West,763,0.14,160.23,3,0,Pleasant,30,25,2016-08-11,2016-08-14,93.75,16
139,BAK-BIS,OD2898,Bakery,Biscuits,Madurai,South,1155,0.11,473.55,3,0,Sunny,30,38,2016-08-11,2016-08-14,93.75,16
140,BAK-BIS,OD4769,Bakery,Biscuits,Trichy,West,794,0.28,230.26,2,0,Sunny,30,26,2016-08-17,2016-08-21,81.0,16
141,BAK-BIS,OD5068,Bakery,Biscuits,Karur,East,865,0.13,233.55,2,0,Sunny,30,28,2016-08-24,2016-08-28,88.0,16
142,BAK-BIS,OD9833,Bakery,Biscuits,Salem,Central,2389,0.24,430.02,0,0,Cloudy,30,79,2016-08-29,2016-09-04,83.5,16
143,BAK-BIS,OD704,Bakery,Biscuits,Namakkal,West,2463,0.32,197.04,6,1,Cloudy,30,82,2016-09-04,2016-09-04,83.5,16
144,BAK-BIS,OD9256,Bakery,Biscuits,Cumbum,East,2288,0.31,938.08,6,1,Cloudy,30,76,2016-09-11,2016-09-11,72.75,17
145,BAK-BIS,OD5806,Bakery,Biscuits,Namakkal,East,2171,0.27,868.4,3,0,Cloudy,30,72,2016-09-15,2016-09-18,178.0,17
146,BAK-BIS,OD5413,Bakery,Biscuits,Kanyakumari,South,1854,0.24,352.26,3,0,Cloudy,30,61,2016-09-15,2016-09-18,178.0,17
147,BAK-BIS,OD6529,Bakery,Biscuits,Karur,South,1270,0.19,292.1,3,0,Sunny,30,42,2016-09-15,2016-09-18,178.0,17
148,BAK-BIS,OD3762,Bakery,Biscuits,Dindigul,East,2234,0.11,714.88,5,1,Cloudy,30,74,2016-09-17,2016-09-18,178.0,17
149,BAK-BIS,OD28,Bakery,Biscuits,Viluppuram,East,979,0.22,401.39,5,1,Cloudy,30,32,2016-09-17,2016-09-18,178.0,17
150,BAK-BIS,OD8135,Bakery,Biscuits,Coimbatore,East,2452,0.18,1103.4,6,1,Cloudy,30,81,2016-09-18,2016-09-18,178.0,18
151,BAK-BIS,OD8181,Bakery,Biscuits,Tirunelveli,East,1634,0.1,147.06,6,1,Cloudy,30,54,2016-09-18,2016-09-18,178.0,18
152,BAK-BIS,OD577,Bakery,Biscuits,Krishnagiri,West,931,0.31,418.95,6,1,Cloudy,30,31,2016-09-18,2016-09-18,178.0,18
153,BAK-BIS,OD7892,Bakery,Biscuits,Dindigul,Central,1210,0.18,544.5,2,0,Cloudy,30,40,2016-09-21,2016-09-25,222.5,18
154,BAK-BIS,OD9464,Bakery,Biscuits,Viluppuram,South,839,0.16,41.95,3,0,Cloudy,30,27,2016-09-22,2016-09-25,222.5,18
155,BAK-BIS,OD960,Bakery,Biscuits,Tirunelveli,West,945,0.33,425.25,3,0,Sunny,30,31,2016-09-22,2016-09-25,222.5,18
156,BAK-BIS,OD2980,Bakery,Biscuits,Bodi,West,1372,0.2,274.4,5,1,Windy,30,45,2016-09-24,2016-09-25,222.5,18
157,BAK-BIS,OD6686,Bakery,Biscuits,Coimbatore,East,1895,0.26,587.45,5,1,Cloudy,30,63,2016-09-24,2016-09-25,222.5,18
158,BAK-BIS,OD284,Bakery,Biscuits,Kanyakumari,West,1544,0.26,138.96,0,0,Cloudy,30,51,2016-09-26,2016-10-02,251.75,18
159,BAK-BIS,OD5333,Bakery,Biscuits,Coimbatore,East,501,0.1,80.16,0,0,Cloudy,30,16,2016-09-26,2016-10-02,251.75,18
160,BAK-BIS,OD1025,Bakery,Biscuits,Tirunelveli,Central,1703,0.26,681.2,1,0,Sunny,30,56,2016-09-27,2016-10-02,251.75,18
161,BAK-BIS,OD2064,Bakery,Biscuits,Tirunelveli,Central,991,0.35,356.76,1,0,Sunny,30,33,2016-09-27,2016-10-02,251.75,18
162,BAK-BIS,OD7681,Bakery,Biscuits,Pudukottai,West,1787,0.2,482.49,2,0,Rainy,30,59,2016-09-28,2016-10-02,251.75,18
163,BAK-BIS,OD6415,Bakery,Biscuits,Dindigul,West,1914,0.12,133.98,2,0,Cloudy,30,63,2016-09-28,2016-10-02,251.75,18
164,BAK-BIS,OD6507,Bakery,Biscuits,Vellore,East,1712,0.19,633.44,0,0,Cloudy,30,57,2016-10-03,2016-10-09,247.0,18
165,BAK-BIS,OD6451,Bakery,Biscuits,Krishnagiri,West,1531,0.16,382.75,0,0,Cloudy,30,51,2016-10-10,2016-10-16,181.0,18
166,BAK-BIS,OD5877,Bakery,Biscuits,Theni,Central,1003,0.16,120.36,2,0,Cloudy,30,33,2016-10-12,2016-10-16,181.0,18
167,BAK-BIS,OD7234,Bakery,Biscuits,Kanyakumari,East,639,0.26,95.85,2,0,Cloudy,30,21,2016-10-12,2016-10-16,181.0,18
168,BAK-BIS,OD8853,Bakery,Biscuits,Cumbum,East,2360,0.23,141.6,2,0,Cloudy,30,78,2016-10-12,2016-10-16,181.0,19
169,BAK-BIS,OD1877,Bakery,Biscuits,Viluppuram,West,1567,0.18,172.37,3,0,Cloudy,30,52,2016-10-20,2016-10-23,167.75,19
170,BAK-BIS,OD3518,Bakery,Biscuits,Tenkasi,Central,2383,0.34,238.3,5,1,Cloudy,30,79,2016-10-22,2016-10-23,167.75,19
171,BAK-BIS,OD1397,Bakery,Biscuits,Madurai,West,668,0.24,133.6,6,1,Cloudy,30,22,2016-10-23,2016-10-23,167.75,19
172,BAK-BIS,OD4390,Bakery,Biscuits,Nagercoil,West,785,0.26,196.25,1,0,Pleasant,30,26,2016-10-25,2016-10-30,180.75,19
173,BAK-BIS,OD5996,Bakery,Biscuits,Bodi,East,2344,0.12,421.92,1,0,Cold,30,78,2016-10-25,2016-10-30,180.75,19
174,BAK-BIS,OD8133,Bakery,Biscuits,Vellore,East,1622,0.2,502.82,1,0,Sunny,30,54,2016-10-25,2016-10-30,180.75,19
