,Date,Stock Code,Lost_Qty,Lost_Profit
119,2015-05-25,BAK-CAK,3,253.6400051359039
120,2015-05-26,FRU-ORG,10,297.8560918652861
121,2015-05-26,SNA-COO,4,125.23564280497361
122,2015-05-26,EGG-FIS,6,578.5397115756872
123,2015-05-27,FRU-FRE,25,418.07663694476656
124,2015-05-27,EGG-MUT,2,421.44211505922163
125,2015-05-28,FRU-FRE,10,167.23065477790664
126,2015-05-30,FRU-FRE,20,334.4613095558133
127,2015-06-01,FRU-ORG,3,89.35682755958584
128,2015-06-01,EGG-FIS,3,289.2698557878436
129,2015-06-02,EGG-CHI,10,639.6156956987776
130,2015-06-02,FRU-ORG,24,714.8546204766867
131,2015-06-02,EGG-MUT,2,421.44211505922163
132,2015-06-04,FRU-FRE,37,618.7534226782545
133,2015-06-04,EGG-MUT,1,210.72105752961082
134,2015-06-06,FRU-FRE,81,1354.5683037010435
135,2015-06-06,BAK-CAK,6,507.2800102718078
136,2015-06-07,EGG-FIS,7,674.9629968383017
137,2015-06-08,EGG-CHI,10,639.6156956987776
138,2015-06-09,FRU-ORG,29,863.7826664093297
139,2015-06-10,BAK-CAK,7,591.8266786504424
140,2015-06-10,EGG-MUT,1,210.72105752961082
141,2015-06-12,FRU-FRE,4,66.89226191116265
142,2015-06-12,FRU-ORG,32,953.1394939689155
143,2015-06-16,EGG-EGG,23,423.33218861580383
144,2015-06-17,EGG-FIS,17,1639.195849464447
145,2015-06-17,EGG-EGG,27,496.95517794029143
146,2015-06-18,EGG-EGG,15,276.08620996682856
147,2015-06-20,BAK-BRE,41,482.46262203728554
148,2015-06-21,BAK-CAK,5,422.7333418931732
149,2015-06-21,EGG-CHI,4,255.84627827951104
150,2015-06-21,BAK-BRE,44,517.7647651131845
151,2015-06-21,FRU-ORG,27,804.2114480362725
152,2015-06-21,EGG-FIS,3,289.2698557878436
153,2015-06-21,EGG-EGG,28,515.3609252714133
154,2015-06-21,EGG-MUT,1,210.72105752961082
155,2015-06-22,BAK-CAK,4,338.18667351453854
156,2015-06-22,EGG-CHI,3,191.8847087096333
157,2015-06-22,FRU-ORG,10,297.8560918652861
158,2015-06-23,FRU-FRE,51,852.8763393673238
159,2015-06-24,FRU-FRE,50,836.1532738895331
160,2015-06-25,EGG-FIS,6,578.5397115756872
161,2015-06-28,BAK-BRE,46,541.2995271637838
162,2015-06-30,BAK-CAK,6,507.2800102718078
163,2015-06-30,EGG-FIS,5,482.1164263130726
164,2015-07-01,EGG-CHI,8,511.6925565590221
165,2015-07-05,EGG-CHI,4,255.84627827951104
166,2015-07-07,EGG-FIS,2,192.84657052522905
167,2015-07-07,EGG-MUT,2,421.44211505922163
168,2015-07-09,EGG-CHI,5,319.8078478493888
169,2015-07-09,EGG-FIS,1,96.42328526261453
170,2015-07-11,BEV-SOF,53,539.2998062331231
171,2015-07-11,EGG-CHI,9,575.6541261288999
172,2015-07-11,EGG-FIS,8,771.3862821009162
173,2015-07-12,BEV-SOF,13,132.28108454774718
174,2015-07-12,EGG-EGG,9,165.65172598009715
175,2015-07-14,FRU-ORG,7,208.49926430570028
176,2015-07-14,FOO-DAL,5,142.27988366026608
177,2015-07-15,FRU-FRE,47,785.9840774561611
178,2015-07-18,BAK-BRE,40,470.6952410119859
179,2015-07-20,FRU-FRE,20,334.4613095558133
180,2015-07-20,BAK-CAK,15,1268.2000256795195
181,2015-07-20,BAK-BRE,30,353.0214307589894
182,2015-07-20,EGG-FIS,3,289.2698557878436
183,2015-07-21,BAK-BRE,28,329.48666870839014
184,2015-07-22,FRU-FRE,58,969.9377977118584
185,2015-07-22,BAK-CAK,2,169.09333675726927
186,2015-07-22,EGG-EGG,10,184.05747331121904
187,2015-07-23,EGG-MUT,3,632.1631725888325
188,2015-07-25,FRU-ORG,4,119.14243674611444
189,2015-07-26,BAK-CAK,6,507.2800102718078
190,2015-07-26,EGG-MUT,3,632.1631725888325
191,2015-07-27,SNA-COO,17,532.2514819211378
192,2015-08-07,FRU-FRE,49,819.4302084117425
193,2015-08-07,FRU-ORG,16,476.56974698445777
194,2015-08-08,BAK-CAK,4,338.18667351453854
195,2015-08-08,FRU-ORG,28,833.9970572228011
196,2015-08-09,OIL-EDI,6,257.6333349241298
197,2015-08-09,EGG-CHI,5,319.8078478493888
198,2015-08-09,FRU-ORG,74,2204.135079803117
199,2015-08-09,EGG-MUT,7,1475.0474027072758
200,2015-08-10,EGG-CHI,8,511.6925565590221
201,2015-08-10,BAK-BRE,29,341.2540497336898
202,2015-08-12,OIL-SPI,1,117.36522930648769
203,2015-08-12,BAK-CAK,8,676.3733470290771
204,2015-08-12,EGG-CHI,6,383.7694174192666
205,2015-08-12,BAK-BRE,46,541.2995271637838
206,2015-08-12,EGG-FIS,4,385.6931410504581
207,2015-08-17,FRU-FRE,22,367.90744051139455
208,2015-08-19,FRU-FRE,6,100.33839286674397
209,2015-08-23,BAK-CAK,1,84.54666837863464
210,2015-08-23,BAK-BRE,63,741.3450045938778
211,2015-08-25,FRU-FRE,28,468.2458333781385
212,2015-08-25,BAK-BRE,28,329.48666870839014
213,2015-08-25,FRU-ORG,24,714.8546204766867
214,2015-08-26,FRU-FRE,16,267.5690476446506
215,2015-08-26,BAK-CAK,7,591.8266786504424
216,2015-08-26,BAK-BRE,35,411.85833588548763
217,2015-08-27,EGG-MUT,2,421.44211505922163
218,2015-08-29,BAK-CAK,5,422.7333418931732
219,2015-08-30,BAK-CAK,7,591.8266786504424
220,2015-09-05,FRU-ORG,13,387.2129194248719
221,2015-09-05,EGG-FIS,4,385.6931410504581
222,2015-09-06,FRU-FRE,55,919.7686012784865
223,2015-09-06,BAK-CAK,13,1099.1066889222502
224,2015-09-06,EGG-MUT,2,421.44211505922163
225,2015-09-07,FRU-FRE,23,384.6305059891852
226,2015-09-07,FOO-ORG,8,238.37918736165886
227,2015-09-08,FRU-FRE,96,1605.4142858679036
228,2015-09-08,BAK-BRE,17,200.045477430094
229,2015-09-08,EGG-MUT,5,1053.6052876480542
230,2015-09-09,EGG-CHI,11,703.5772652686553
231,2015-09-09,BAK-BRE,47,553.0669081890834
232,2015-09-11,BAK-BRE,66,776.6471476697767
233,2015-09-11,EGG-FIS,6,578.5397115756872
234,2015-09-12,FRU-FRE,39,652.1995536338359
235,2015-09-12,EGG-MUT,1,210.72105752961082
236,2015-09-13,FRU-FRE,11,183.95372025569728
237,2015-09-13,BAK-CAK,7,591.8266786504424
238,2015-09-13,BAK-BRE,15,176.5107153794947
239,2015-09-13,FRU-ORG,23,685.0690112901581
240,2015-09-13,EGG-FIS,2,192.84657052522905
241,2015-09-13,FOO-ATT,91,989.5923802454049
242,2015-09-14,FRU-FRE,93,1555.2450894345316
243,2015-09-14,BAK-CAK,2,169.09333675726927
244,2015-09-14,EGG-CHI,4,255.84627827951104
245,2015-09-14,EGG-FIS,2,192.84657052522905
246,2015-09-14,EGG-MUT,2,421.44211505922163
247,2015-09-15,BEV-SOF,23,234.0357649690912
248,2015-09-15,EGG-MUT,2,421.44211505922163
249,2015-09-17,BEV-SOF,89,905.6166557499615
250,2015-09-17,FRU-ORG,20,595.7121837305722
251,2015-09-19,BEV-SOF,75,763.16010316008
252,2015-09-19,BAK-CAK,2,169.09333675726927
253,2015-09-19,EGG-FIS,5,482.1164263130726
254,2015-09-20,BEV-SOF,39,396.84325364324155
255,2015-09-20,BAK-CAK,8,676.3733470290771
256,2015-09-20,EGG-FIS,8,771.3862821009162
257,2015-09-20,BAK-BIS,30,226.72103875283048
258,2015-09-20,EGG-MUT,3,632.1631725888325
259,2015-09-21,BEV-SOF,20,203.50936084268798
260,2015-09-21,BAK-CAK,3,253.6400051359039
261,2015-09-21,BAK-BRE,81,953.1578630492714
262,2015-09-21,FRU-ORG,37,1102.0675399015586
263,2015-09-21,BAK-BIS,162,1224.2936092652844
264,2015-09-21,EGG-MUT,2,421.44211505922163
265,2015-09-22,EGG-CHI,13,831.5004044084109
266,2015-09-22,OIL-MAS,1,92.05647701326751
267,2015-09-22,FRU-ORG,7,208.49926430570028
268,2015-09-23,EGG-CHI,9,575.6541261288999
269,2015-09-23,EGG-EGG,9,165.65172598009715
270,2015-09-25,FRU-FRE,22,367.90744051139455
271,2015-09-25,BAK-CAK,2,169.09333675726927
272,2015-09-25,EGG-FIS,4,385.6931410504581
273,2015-09-26,BAK-CAK,3,253.6400051359039
274,2015-09-26,EGG-EGG,13,239.27471530458476
275,2015-09-26,FOO-DAL,2,56.91195346410643
276,2015-09-27,BAK-BRE,35,411.85833588548763
277,2015-09-29,BAK-CAK,2,169.09333675726927
278,2015-09-29,EGG-CHI,10,639.6156956987776
279,2015-09-29,BAK-BRE,16,188.27809640479435
280,2015-09-29,FRU-ORG,4,119.14243674611444
281,2015-09-29,EGG-FIS,6,578.5397115756872
282,2015-09-30,FRU-ORG,8,238.28487349222888
283,2015-09-30,EGG-FIS,2,192.84657052522905
284,2015-10-01,EGG-FIS,4,385.6931410504581
285,2015-10-03,EGG-CHI,9,575.6541261288999
286,2015-10-05,EGG-CHI,10,639.6156956987776
287,2015-10-05,EGG-FIS,6,578.5397115756872
288,2015-10-05,EGG-MUT,1,210.72105752961082
289,2015-10-09,EGG-CHI,5,319.8078478493888
290,2015-10-09,FRU-ORG,7,208.49926430570028
291,2015-10-09,EGG-FIS,3,289.2698557878436
292,2015-10-10,FRU-FRE,6,100.33839286674397
293,2015-10-10,EGG-MUT,2,421.44211505922163
294,2015-10-11,FRU-FRE,73,1220.7837798787184
295,2015-10-11,FRU-ORG,31,923.3538847823869
296,2015-10-12,EGG-CHI,2,127.92313913975552
297,2015-10-12,FRU-ORG,25,744.6402296632152
298,2015-10-12,EGG-FIS,4,385.6931410504581
299,2015-10-13,FRU-FRE,21,351.1843750336039
300,2015-10-13,BAK-CAK,7,591.8266786504424
301,2015-10-13,EGG-CHI,5,319.8078478493888
302,2015-10-13,BAK-BRE,27,317.7192876830905
303,2015-10-13,EGG-FIS,2,192.84657052522905
304,2015-10-14,BAK-CAK,8,676.3733470290771
305,2015-10-14,EGG-FIS,2,192.84657052522905
306,2015-10-14,EGG-EGG,9,165.65172598009715
307,2015-10-15,BAK-BRE,25,294.18452563249116
308,2015-10-17,EGG-CHI,9,575.6541261288999
309,2015-10-19,FRU-FRE,33,551.8611607670919
310,2015-10-19,EGG-FIS,2,192.84657052522905
311,2015-10-19,EGG-MUT,1,210.72105752961082
312,2015-10-20,FRU-FRE,80,1337.845238223253
313,2015-10-20,BAK-CAK,6,507.2800102718078
314,2015-10-20,FRU-ORG,20,595.7121837305722
315,2015-10-20,EGG-MUT,2,421.44211505922163
316,2015-10-21,BAK-BRE,32,376.5561928095887
317,2015-10-28,EGG-FIS,5,482.1164263130726
318,2015-10-31,FRU-FRE,9,150.50758930011597
319,2015-10-31,EGG-FIS,4,385.6931410504581
320,2015-10-31,EGG-MUT,2,421.44211505922163
321,2015-11-02,EGG-CHI,5,319.8078478493888
322,2015-11-02,BAK-BRE,64,753.1123856191774
323,2015-11-02,EGG-FIS,12,1157.0794231513744
324,2015-11-03,BAK-CAK,9,760.9200154077117
325,2015-11-03,BAK-BRE,26,305.9519066577908
326,2015-11-03,FRU-ORG,31,923.3538847823869
327,2015-11-03,EGG-FIS,4,385.6931410504581
328,2015-11-04,BAK-BRE,30,353.0214307589894
329,2015-11-04,FRU-ORG,19,565.9265745440435
330,2015-11-04,EGG-FIS,4,385.6931410504581
331,2015-11-05,FRU-FRE,48,802.7071429339518
332,2015-11-05,SNA-CHO,20,528.8631213062238
333,2015-11-07,EGG-CHI,13,831.5004044084109
334,2015-11-07,BAK-BRE,31,364.78881178428907
335,2015-11-07,EGG-FIS,5,482.1164263130726
336,2015-11-08,BAK-CAK,8,676.3733470290771
337,2015-11-08,BAK-BRE,51,600.136432290282
338,2015-11-10,BAK-CAK,2,169.09333675726927
339,2015-11-10,EGG-FIS,4,385.6931410504581
340,2015-11-11,BAK-CAK,12,1014.5600205436156
341,2015-11-11,EGG-FIS,4,385.6931410504581
342,2015-11-11,EGG-MUT,6,1264.326345177665
343,2015-11-14,EGG-MUT,5,1053.6052876480542
344,2015-11-15,FRU-FRE,18,301.01517860023193
345,2015-11-15,BAK-BRE,70,823.7166717709753
346,2015-11-16,EGG-CHI,6,383.7694174192666
347,2015-11-17,FRU-FRE,33,551.8611607670919
348,2015-11-17,FRU-ORG,11,327.6417010518147
349,2015-11-17,EGG-FIS,2,192.84657052522905
350,2015-11-18,BEV-SOF,19,193.3338928005536
351,2015-11-18,FRU-FRE,29,484.9688988559292
352,2015-11-18,EGG-CHI,15,959.4235435481664
353,2015-11-18,EGG-FIS,3,289.2698557878436
354,2015-11-19,BEV-HEA,2,280.50849884098284
355,2015-11-19,OIL-EDI,7,300.57222407815146
356,2015-11-19,FRU-ORG,16,476.56974698445777
357,2015-11-19,EGG-FIS,6,578.5397115756872
358,2015-11-19,FOO-ORG,2,59.594796840414716
359,2015-11-20,OIL-EDI,13,558.2055590022812
360,2015-11-21,BEV-HEA,6,841.5254965229485
361,2015-11-21,BAK-CAK,4,338.18667351453854
362,2015-11-21,EGG-CHI,7,447.7309869891443
363,2015-11-22,BAK-BRE,46,541.2995271637838
364,2015-11-22,BAK-BIS,53,400.5405017966672
365,2015-11-23,BAK-CAK,4,338.18667351453854
366,2015-11-23,BAK-BRE,15,176.5107153794947
367,2015-11-23,EGG-FIS,3,289.2698557878436
368,2015-11-24,BAK-CAK,7,591.8266786504424
369,2015-11-24,EGG-CHI,15,959.4235435481664
370,2015-11-24,BAK-BRE,39,458.92785998668626
371,2015-11-24,FRU-ORG,51,1519.0660685129592
372,2015-11-24,EGG-FIS,7,674.9629968383017
373,2015-11-24,EGG-MUT,1,210.72105752961082
374,2015-11-25,BAK-CAK,6,507.2800102718078
375,2015-11-25,FRU-ORG,9,268.0704826787575
376,2015-11-26,SNA-COO,25,782.7227675310851
377,2015-11-28,FRU-FRE,32,535.1380952893012
378,2015-11-28,EGG-CHI,11,703.5772652686553
379,2015-11-28,SNA-COO,13,407.0158391161642
380,2015-11-28,FOO-ORG,26,774.7323589253913
381,2015-11-29,FRU-FRE,53,886.3224703229051
382,2015-11-30,FRU-FRE,13,217.39985121127862
383,2015-11-30,FOO-ATT,14,152.24498157621613
384,2015-12-04,BAK-BRE,23,270.6497635818919
385,2015-12-04,FRU-ORG,39,1161.6387582746158
386,2015-12-07,FRU-FRE,14,234.12291668906926
387,2015-12-07,BAK-CAK,10,845.4666837863464
388,2015-12-07,EGG-CHI,9,575.6541261288999
389,2015-12-08,FRU-FRE,82,1371.2913691788342
390,2015-12-08,BAK-CAK,11,930.013352164981
391,2015-12-08,BAK-BRE,22,258.88238255659223
392,2015-12-09,EGG-CHI,5,319.8078478493888
393,2015-12-11,BAK-BRE,14,164.74333435419507
394,2015-12-11,FRU-ORG,65,1936.0645971243596
395,2015-12-11,EGG-FIS,4,385.6931410504581
396,2015-12-12,EGG-CHI,9,575.6541261288999
397,2015-12-12,FRU-ORG,47,1399.9236317668447
398,2015-12-13,FOO-ATT,27,293.615321611274
399,2015-12-14,FRU-FRE,14,234.12291668906926
400,2015-12-14,BAK-CAK,4,338.18667351453854
401,2015-12-14,EGG-FIS,7,674.9629968383017
402,2015-12-14,EGG-MUT,3,632.1631725888325
403,2015-12-15,FRU-FRE,27,451.5227679003479
404,2015-12-16,FRU-FRE,20,334.4613095558133
405,2015-12-16,EGG-CHI,6,383.7694174192666
406,2015-12-16,BAK-BRE,79,929.6231009986722
407,2015-12-16,SNA-COO,15,469.633660518651
408,2015-12-16,FOO-DAL,11,313.0157440525854
409,2015-12-19,EGG-CHI,3,191.8847087096333
410,2015-12-19,BAK-BRE,48,564.834289214383
411,2015-12-19,FOO-DAL,20,569.1195346410643
412,2015-12-19,EGG-MUT,3,632.1631725888325
413,2015-12-20,BAK-CAK,7,591.8266786504424
414,2015-12-20,EGG-CHI,10,639.6156956987776
415,2015-12-20,BAK-BRE,68,800.181909720376
416,2015-12-20,FRU-ORG,24,714.8546204766867
417,2015-12-20,EGG-MUT,5,1053.6052876480542
418,2015-12-22,FRU-ORG,12,357.42731023834335
419,2015-12-23,EGG-CHI,5,319.8078478493888
420,2015-12-23,EGG-MUT,4,842.8842301184433
421,2015-12-24,BAK-CAK,15,1268.2000256795195
422,2015-12-24,BAK-BRE,106,1247.3423886817625
423,2015-12-26,OIL-EDI,4,171.75555661608655
424,2015-12-26,BAK-BRE,21,247.1150015312926
425,2015-12-26,EGG-MUT,4,842.8842301184433
426,2015-12-27,OIL-EDI,13,558.2055590022812
427,2015-12-27,EGG-CHI,17,1087.3466826879219
428,2015-12-28,OIL-EDI,5,214.6944457701082
429,2015-12-28,FRU-FRE,66,1103.7223215341837
430,2015-12-29,FRU-FRE,39,652.1995536338359
431,2015-12-29,EGG-CHI,10,639.6156956987776
432,2015-12-29,EGG-FIS,3,289.2698557878436
433,2015-12-30,FRU-FRE,35,585.3072917226732
434,2015-12-30,EGG-CHI,6,383.7694174192666
435,2015-12-31,BAK-CAK,6,507.2800102718078
436,2015-12-31,OIL-MAS,6,552.3388620796051
437,2015-12-31,BAK-BRE,55,647.2059563914806
438,2015-12-31,FRU-ORG,38,1131.853149088087
439,2015-12-31,BAK-BIS,48,362.75366200452873
440,2015-12-31,EGG-MUT,1,210.72105752961082
441,2016-01-03,EGG-CHI,7,447.7309869891443
442,2016-01-05,FRU-FRE,49,819.4302084117425
443,2016-01-05,BAK-CAK,6,507.2800102718078
444,2016-01-05,EGG-CHI,2,127.92313913975552
445,2016-01-06,FRU-FRE,34,568.5842262448825
446,2016-01-09,FRU-ORG,15,446.78413779792913
447,2016-01-11,BAK-BRE,64,753.1123856191774
448,2016-01-12,FRU-FRE,51,852.8763393673238
449,2016-01-12,BAK-CAK,7,591.8266786504424
450,2016-01-12,EGG-CHI,6,383.7694174192666
451,2016-01-12,BAK-BRE,29,341.2540497336898
452,2016-01-12,EGG-MUT,2,421.44211505922163
453,2016-01-23,FRU-FRE,48,802.7071429339518
454,2016-01-31,FRU-FRE,25,418.07663694476656
455,2016-02-01,FRU-FRE,49,819.4302084117425
456,2016-02-03,FRU-ORG,14,416.99852861140056
457,2016-02-04,BAK-CAK,7,591.8266786504424
458,2016-02-04,FRU-ORG,4,119.14243674611444
459,2016-02-05,BAK-CAK,3,253.6400051359039
460,2016-02-07,FRU-FRE,76,1270.9529763120904
461,2016-02-07,EGG-CHI,10,639.6156956987776
462,2016-02-07,EGG-FIS,2,192.84657052522905
463,2016-02-07,EGG-MUT,5,1053.6052876480542
464,2016-02-08,FRU-FRE,38,635.4764881560452
465,2016-02-10,BEV-HEA,1,140.25424942049142
466,2016-02-10,FRU-FRE,34,568.5842262448825
467,2016-02-10,EGG-CHI,11,703.5772652686553
468,2016-02-10,FRU-ORG,21,625.4977929171008
469,2016-02-11,BEV-HEA,3,420.76274826147426
470,2016-02-11,FRU-ORG,4,119.14243674611444
471,2016-02-14,FRU-ORG,27,804.2114480362725
472,2016-02-18,EGG-CHI,4,255.84627827951104
473,2016-03-01,EGG-MUT,1,210.72105752961082
474,2016-03-02,EGG-FIS,4,385.6931410504581
475,2016-03-05,FRU-FRE,49,819.4302084117425
476,2016-03-05,BAK-CAK,2,169.09333675726927
477,2016-03-05,BAK-BRE,51,600.136432290282
478,2016-03-05,FRU-ORG,11,327.6417010518147
479,2016-03-07,BAK-BRE,41,482.46262203728554
480,2016-03-09,FRU-FRE,19,317.7382440780226
481,2016-03-09,BAK-CAK,6,507.2800102718078
482,2016-03-09,EGG-CHI,5,319.8078478493888
483,2016-03-09,BAK-BRE,35,411.85833588548763
484,2016-03-09,EGG-FIS,4,385.6931410504581
485,2016-03-10,FRU-ORG,16,476.56974698445777
486,2016-03-10,EGG-EGG,54,993.9103558805829
487,2016-03-11,BAK-BRE,39,458.92785998668626
488,2016-03-12,BEV-SOF,36,366.3168495168384
489,2016-03-15,BEV-SOF,43,437.5451258117792
490,2016-03-16,EGG-FIS,6,578.5397115756872
491,2016-03-19,FRU-FRE,5,83.61532738895332
492,2016-03-19,FRU-ORG,26,774.4258388497439
493,2016-03-19,EGG-FIS,4,385.6931410504581
494,2016-03-22,FRU-FRE,46,769.2610119783704
495,2016-03-22,EGG-CHI,8,511.6925565590221
496,2016-03-22,EGG-FIS,4,385.6931410504581
497,2016-03-22,EGG-EGG,1,18.405747331121905
498,2016-03-22,EGG-MUT,2,421.44211505922163
499,2016-03-23,FRU-FRE,27,451.5227679003479
500,2016-03-23,BAK-BRE,26,305.9519066577908
501,2016-03-23,FRU-ORG,28,833.9970572228011
502,2016-03-26,BAK-CAK,9,760.9200154077117
503,2016-03-28,FRU-ORG,29,863.7826664093297
504,2016-03-28,FOO-ATT,53,576.3560016813897
505,2016-03-29,FRU-FRE,7,117.06145834453463
506,2016-03-29,BAK-CAK,6,507.2800102718078
507,2016-03-29,BAK-BRE,9,105.90642922769682
508,2016-03-30,BAK-CAK,4,338.18667351453854
509,2016-03-30,BAK-BRE,49,576.6016702396827
510,2016-04-04,EGG-MUT,3,632.1631725888325
511,2016-04-06,FRU-FRE,22,367.90744051139455
512,2016-04-06,EGG-MUT,3,632.1631725888325
513,2016-04-09,FRU-FRE,7,117.06145834453463
514,2016-04-09,BAK-BRE,11,129.44119127829612
515,2016-04-10,BAK-CAK,1,84.54666837863464
